MD,TVD,VS,well_z,interp_base_z,interp_top_z,true_base_z,true_top_z,interp_segment,interpreted_faults_before,grid_base_z,grid_top_z,true_faults_before,true_dip
0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0,0,-1,-90
1.0,0.999999999999997,6.732224694288626e-08,-0.999999999999997,0,0,0,0,-1,0,0,0,-1,-90
2.0,1.9999999999999756,2.692889877715438e-07,-1.9999999999999756,0,0,0,0,-1,0,0,0,-1,-90
3.0,2.9999999999999187,6.05900222485969e-07,-2.9999999999999187,0,0,0,0,-1,0,0,0,-1,-90
4.0,3.9999999999998064,1.0771559510861556e-06,-3.9999999999998064,0,0,0,0,-1,0,0,0,-1,-90
5.0,4.9999999999996225,1.6830561735720953e-06,-4.9999999999996225,0,0,0,0,-1,0,0,0,-1,-90
6.0,5.999999999999346,2.423600889943777e-06,-5.999999999999346,0,0,0,0,-1,0,0,0,-1,-90
7.0,6.9999999999989635,3.2987901002011874e-06,-6.9999999999989635,0,0,0,0,-1,0,0,0,-1,-90
8.0,7.999999999998455,4.3086238043443105e-06,-7.999999999998455,0,0,0,0,-1,0,0,0,-1,-90
9.0,8.999999999997797,5.453102002373127e-06,-8.999999999997797,0,0,0,0,-1,0,0,0,-1,-90
10.0,9.999999999996978,6.73222469428762e-06,-9.999999999996978,0,0,0,0,-1,0,0,0,-1,-90
11.0,10.99999999999598,8.145991880087761e-06,-10.99999999999598,0,0,0,0,-1,0,0,0,-1,-90
12.0,11.999999999994778,9.694403559773526e-06,-11.999999999994778,0,0,0,0,-1,0,0,0,-1,-90
13.0,12.999999999993362,1.137745973334489e-05,-12.999999999993362,0,0,0,0,-1,0,0,0,-1,-90
14.0,13.999999999991708,1.3195160400801819e-05,-13.999999999991708,0,0,0,0,-1,0,0,0,-1,-90
15.0,14.999999999989802,1.5147505562144283e-05,-14.999999999989802,0,0,0,0,-1,0,0,0,-1,-90
16.0,15.999999999987626,1.7234495217372245e-05,-15.999999999987626,0,0,0,0,-1,0,0,0,-1,-90
17.0,16.999999999985153,1.9456129366485665e-05,-16.999999999985153,0,0,0,0,-1,0,0,0,-1,-90
18.0,17.99999999998238,2.1812408009484506e-05,-17.99999999998238,0,0,0,0,-1,0,0,0,-1,-90
19.0,18.99999999997927,2.430333114636872e-05,-18.99999999997927,0,0,0,0,-1,0,0,0,-1,-90
20.0,19.999999999975824,2.6928898777138265e-05,-19.999999999975824,0,0,0,0,-1,0,0,0,-1,-90
21.0,20.999999999972015,2.9689110901793093e-05,-20.999999999972015,0,0,0,0,-1,0,0,0,-1,-90
22.0,21.99999999996783,3.2583967520333174e-05,-21.99999999996783,0,0,0,0,-1,0,0,0,-1,-90
