md,GR
5000.0,40.04
5000.5,39.289
5001.0,38.383
5001.5,37.371
5002.0,35.869
5002.5,34.854
5003.0,35.285
5003.5,42.839
5004.0,46.866
5004.5,56.329
5005.0,59.091
5005.5,64.436
5006.0,67.3
5006.5,73.631
5007.0,85.199
5007.5,87.322
5008.0,87.601
5008.5,87.064
5009.0,86.528
5009.5,85.992
5010.0,85.206
5010.5,84.388
5011.0,83.571
5011.5,83.564
5012.0,83.567
5012.5,83.57
5013.000000000001,84.417
5013.5,85.816
5014.0,87.643
5014.5,89.256
5015.000000000001,88.701
5015.5,85.667
5016.0,80.071
5016.5,76.742
5017.000000000001,74.125
5017.5,71.509
5018.0,66.942
5018.5,63.651
5019.000000000001,63.219
5019.5,62.891
5020.0,61.405
5020.5,59.336
5021.000000000001,59.476
5021.5,65.982
5022.0,73.671
5022.5,73.764
5023.000000000001,72.183
5023.5,71.076
5024.0,70.507
5024.5,70.63
5025.000000000001,70.991
5025.5,72.816
5026.0,76.843
5026.5,78.42
5027.000000000001,81.552
5027.5,84.843
5028.0,87.387
5028.5,87.53
5029.000000000001,86.173
5029.5,84.663
5030.0,84.107
5030.5,89.414
5031.000000000001,93.375
5031.5,91.412
5032.0,90.567
5032.5,91.802
5033.000000000001,92.371
5033.5,92.215
5034.0,84.767
5034.5,79.549
5035.000000000001,74.821
5035.5,74.122
5036.0,72.938
5036.5,73.199
5037.000000000001,82.582
5037.5,89.412
5038.0,95.17
5038.5,94.38
5039.000000000001,91.397
5039.5,88.133
5040.0,85.191
5040.5,82.345
5041.000000000001,78.628
5041.5,73.739
5042.0,70.786
5042.5,72.477
5043.000000000001,75.224
5043.5,74.575
5044.0,73.277
5044.5,72.755
5045.000000000001,73.323
5045.5,77.674
5046.0,84.739
5046.5,83.816
5047.000000000001,82.461
5047.5,82.537
5048.0,82.877
5048.5,84.344
5049.000000000001,85.826
5049.5,86.919
5050.0,85.92
5050.5,84.01
5051.000000000001,82.182
5051.5,81.115
5052.0,80.934
5052.5,81.022
5053.000000000001,81.304
5053.5,90.18
5054.0,94.254
5054.5,96.235
5055.000000000001,95.884
5055.5,95.045
5056.0,93.827
